date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:35	714815/714815	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Feb%202022%2007:03:11%20GMT	https://mintslotienft.com/index_files/ethers-5.0.umd.min.js	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/ethers-5.0.umd.min.js	(from https://mintslotienft.com/)
19:48:39	336364/336364	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Feb%202022%2007:01:22%20GMT	https://mintslotienft.com/index_files/client_default.css	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/client_default.css	(from https://mintslotienft.com/)
19:48:39	2237/2237	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Feb%202022%2006:59:39%20GMT	https://mintslotienft.com/index_files/f(1).txt	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/f(1).txt	(from https://mintslotienft.com/)
19:48:40	934/934	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:41%20GMT	https://mintslotienft.com/index_files/6189178282a5fa8a2a1280e8_NFT%20LOGO%201-01.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/6189178282a5fa8a2a1280e8_NFT%20LOGO%201-01.svg	(from https://mintslotienft.com/)
19:48:40	1192/1192	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:23%20GMT	https://mintslotienft.com/index_files/617c07efa78818323b058e31_Logo%20-%20Twitter.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/617c07efa78818323b058e31_Logo%20-%20Twitter.svg	(from https://mintslotienft.com/)
19:48:40	2094/2094	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:23%20GMT	https://mintslotienft.com/index_files/617c07ef9e95ea4de615e71f_Logo%20-%20Discord.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/617c07ef9e95ea4de615e71f_Logo%20-%20Discord.svg	(from https://mintslotienft.com/)
19:48:41	3398/3398	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:22%20GMT	https://mintslotienft.com/index_files/617c07ef7756fd2484c4a532_Logo%20-%20OpenSea.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/617c07ef7756fd2484c4a532_Logo%20-%20OpenSea.svg	(from https://mintslotienft.com/)
19:48:41	15790/15790	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:54:37%20GMT	https://mintslotienft.com/index_files/6183e9b9b3d3d1640af5e1f0_Ether.png	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/6183e9b9b3d3d1640af5e1f0_Ether.png	(from https://mintslotienft.com/)
19:48:42	16935/16935	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:54:36%20GMT	https://mintslotienft.com/index_files/6183e7e6f0946e5a876ffa39_Dice.png	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/6183e7e6f0946e5a876ffa39_Dice.png	(from https://mintslotienft.com/)
19:48:43	6043/6043	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2007:01:55%20GMT	https://mintslotienft.com/index_files/metamask-logo.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/metamask-logo.svg	(from https://mintslotienft.com/)
